post1,post2,label
"Hi everyone, I hope you are all doing wonderfully.
I just have a question about chemo. I do have an appointment with the oncologist on Thursday but I'm curious. I've only had two treatments so far.
 I am only in treatment for under 2 hours each time and I have a very small bag of fluid they give me and then they give me what the nurse called the red demon which is a huge syringe she pushes through the IV. I do get a small bag of anti nausea medicine & steroids in the beginning as well. 
My question is: is this normal? I see so many people getting larger amounts while I am there. I know alot of them are being treated for different illnesses so we would not all be the same. My husband says maybe I won't have as many side effects (losing hair, nails etc) because maybe I'm not getting as much as some. I have gotten sick both times so I haven't missed out on that one. 8/
I don't know~ they diagnosed me stage 3C so I would think that would require a certain amount of chemo. I am happy to only be there for 2 hours I just wonder and worry 8)
Thanks for any advice ~ have a great evening!","I went every other week for a total of 8 infusions -- 4 of adriamycin (or something like that)/cytoxan, and 4 of taxol.  Before THE chemo drug itself, I was given a small cup with some pills in it (I forget the names of those drugs) and then a small drip.  I think that they were to help minimize the side effects.  One of the NPs told me at one point that I had enough ""anti-puke"" meds in that to carry from Monday through Wednesday.  So, I didn't take anything, other that a few days of a steroid, until Wednesday night or Thursday morning.  The anti-puke drugs (pills) I did take worked well.  I only needed them during the AC phase.  At worse, I had a few days of queasiness.  My NP/Onc said that if my pills did not do the trick to let them know.  They would change the prescription to something else.
One thing about length of time has to do with the speed of the drip.  I say that because I had a little trouble with the taxol the last two times.  They had to stop the drip, give me a small bag of benadryl and then re-try. If things went well, then I could finish that round.  If things still went awry, the session would end and the onc would have to try something else and I return the following Monday.  The last infusion, the med people gave me that extra bag of benadryl at the start to ward off a similar problem as the time before.  BUT, again I had a reaction.  They stopped the drip, gave me a small bag drip of demoryl (something like that).  They resumed the taxol, but slowed the drip down considerably to see how things would go. After about 10 minutes, I had had no reaction, and so they upped the drip a little more.  It was not at the initial rate, but the goal was to get me through it AND done with chemo.
I could never start infusions until the onc arrived (satellite center).  He often was running late, as he had to travel about a half hour from the med center.  So, although I was to be at the place at 10:00, I often did not get started until 10:30-10:45.  I got done quicker with the AC than with the Taxol.  So, initially, I was on my way home between 1:00-1:30.  That final taxol, with all the preliminaries and still a problem and then a slowed drip . . . I was there until about 3:30 or 4:00.
I have come to the conclusion that different med people do all of this differently, and so it is difficult to give you a definite answer to questions you may have.  BUT, I do know that whatever we all share here gives you some ideas of what you may encounter.  Even with that, there are still apt to be surprises.  For me, it was that taxol usually gets that negative reaction the first time it is given, not the third and fourth times . . .  A had a few other surprises, but those were more along the lines of side effects that may have come from either the AC or the taxol OR all three together.",1
"Hi everyone, I hope you are all doing wonderfully.
I just have a question about chemo. I do have an appointment with the oncologist on Thursday but I'm curious. I've only had two treatments so far.
 I am only in treatment for under 2 hours each time and I have a very small bag of fluid they give me and then they give me what the nurse called the red demon which is a huge syringe she pushes through the IV. I do get a small bag of anti nausea medicine & steroids in the beginning as well. 
My question is: is this normal? I see so many people getting larger amounts while I am there. I know alot of them are being treated for different illnesses so we would not all be the same. My husband says maybe I won't have as many side effects (losing hair, nails etc) because maybe I'm not getting as much as some. I have gotten sick both times so I haven't missed out on that one. 8/
I don't know~ they diagnosed me stage 3C so I would think that would require a certain amount of chemo. I am happy to only be there for 2 hours I just wonder and worry 8)
Thanks for any advice ~ have a great evening!","Hi Desert Girl,
Thanks, I am the same ( AC 4 times every other week and taxol 4 times every other week). Then I will start radiation. It's funny how we are all the same and different.
My anti puke drugs work good. I just have alot of muscle pain after the neupogen shots but I have some pain meds left over from my surgery & they help. 
I agree... everyone may have a similar situation or completely different but no matter because all the information we give and get helps so much. I check in just to read questions & answers because it's often hard to get through & this site always helps me. 
So far I seem to end up with the common side effects. I've started losing my hair, can't taste food & a sore in my mouth. 
I'm hoping when I get to the taxol it is easier than the AC. I've only had two AC & my 3rd has been rescheduled due to low white cell count. I am bummed as I want it over with soon.
Thanks for all your advise~ you guys have helped me get this far.
Today I feel like this is never going to end but reading yours & others cases have made me feel like there will be an end~",1
"I went every other week for a total of 8 infusions -- 4 of adriamycin (or something like that)/cytoxan, and 4 of taxol.  Before THE chemo drug itself, I was given a small cup with some pills in it (I forget the names of those drugs) and then a small drip.  I think that they were to help minimize the side effects.  One of the NPs told me at one point that I had enough ""anti-puke"" meds in that to carry from Monday through Wednesday.  So, I didn't take anything, other that a few days of a steroid, until Wednesday night or Thursday morning.  The anti-puke drugs (pills) I did take worked well.  I only needed them during the AC phase.  At worse, I had a few days of queasiness.  My NP/Onc said that if my pills did not do the trick to let them know.  They would change the prescription to something else.
One thing about length of time has to do with the speed of the drip.  I say that because I had a little trouble with the taxol the last two times.  They had to stop the drip, give me a small bag of benadryl and then re-try. If things went well, then I could finish that round.  If things still went awry, the session would end and the onc would have to try something else and I return the following Monday.  The last infusion, the med people gave me that extra bag of benadryl at the start to ward off a similar problem as the time before.  BUT, again I had a reaction.  They stopped the drip, gave me a small bag drip of demoryl (something like that).  They resumed the taxol, but slowed the drip down considerably to see how things would go. After about 10 minutes, I had had no reaction, and so they upped the drip a little more.  It was not at the initial rate, but the goal was to get me through it AND done with chemo.
I could never start infusions until the onc arrived (satellite center).  He often was running late, as he had to travel about a half hour from the med center.  So, although I was to be at the place at 10:00, I often did not get started until 10:30-10:45.  I got done quicker with the AC than with the Taxol.  So, initially, I was on my way home between 1:00-1:30.  That final taxol, with all the preliminaries and still a problem and then a slowed drip . . . I was there until about 3:30 or 4:00.
I have come to the conclusion that different med people do all of this differently, and so it is difficult to give you a definite answer to questions you may have.  BUT, I do know that whatever we all share here gives you some ideas of what you may encounter.  Even with that, there are still apt to be surprises.  For me, it was that taxol usually gets that negative reaction the first time it is given, not the third and fourth times . . .  A had a few other surprises, but those were more along the lines of side effects that may have come from either the AC or the taxol OR all three together.","Hi Desert Girl,
Thanks, I am the same ( AC 4 times every other week and taxol 4 times every other week). Then I will start radiation. It's funny how we are all the same and different.
My anti puke drugs work good. I just have alot of muscle pain after the neupogen shots but I have some pain meds left over from my surgery & they help. 
I agree... everyone may have a similar situation or completely different but no matter because all the information we give and get helps so much. I check in just to read questions & answers because it's often hard to get through & this site always helps me. 
So far I seem to end up with the common side effects. I've started losing my hair, can't taste food & a sore in my mouth. 
I'm hoping when I get to the taxol it is easier than the AC. I've only had two AC & my 3rd has been rescheduled due to low white cell count. I am bummed as I want it over with soon.
Thanks for all your advise~ you guys have helped me get this far.
Today I feel like this is never going to end but reading yours & others cases have made me feel like there will be an end~",1
"Hi everyone, I hope you are all doing wonderfully.
I just have a question about chemo. I do have an appointment with the oncologist on Thursday but I'm curious. I've only had two treatments so far.
 I am only in treatment for under 2 hours each time and I have a very small bag of fluid they give me and then they give me what the nurse called the red demon which is a huge syringe she pushes through the IV. I do get a small bag of anti nausea medicine & steroids in the beginning as well. 
My question is: is this normal? I see so many people getting larger amounts while I am there. I know alot of them are being treated for different illnesses so we would not all be the same. My husband says maybe I won't have as many side effects (losing hair, nails etc) because maybe I'm not getting as much as some. I have gotten sick both times so I haven't missed out on that one. 8/
I don't know~ they diagnosed me stage 3C so I would think that would require a certain amount of chemo. I am happy to only be there for 2 hours I just wonder and worry 8)
Thanks for any advice ~ have a great evening!","Hi, Lori
    As you stated, others are not being treated for the same dx.  You are receiving just what your onco ordered.  Glad you are feeling well with treatments, and side effects are manageable.  I found that my side effects became predictable, but the muscle fatigue increased exponentially.  Now, this may not happen to you.  Each patient is different, and even if 2 people receive the same meds, they may not have the same SE.
 
     Take care,
       Kathy",1
"Hi everyone, I hope you are all doing wonderfully.
I just have a question about chemo. I do have an appointment with the oncologist on Thursday but I'm curious. I've only had two treatments so far.
 I am only in treatment for under 2 hours each time and I have a very small bag of fluid they give me and then they give me what the nurse called the red demon which is a huge syringe she pushes through the IV. I do get a small bag of anti nausea medicine & steroids in the beginning as well. 
My question is: is this normal? I see so many people getting larger amounts while I am there. I know alot of them are being treated for different illnesses so we would not all be the same. My husband says maybe I won't have as many side effects (losing hair, nails etc) because maybe I'm not getting as much as some. I have gotten sick both times so I haven't missed out on that one. 8/
I don't know~ they diagnosed me stage 3C so I would think that would require a certain amount of chemo. I am happy to only be there for 2 hours I just wonder and worry 8)
Thanks for any advice ~ have a great evening!","Thank you Kathy,
I have muscle pain. The first time it was pretty bad (felt like someone beat me up) but the next time I took some left over pain meds from my surgery & felt much better. I was hoping after my 3rd treatment I would have all my side effects figured out so I could manage them but my 3rd has been rescheduled due to low white count. I am bummed but going to try to rest more & eat better (haven't eaten much since I can't taste it), so I can get into the 3rd treatment as well as the rest of them & get this over with.
Thanks again~ Happy Healthy New Year!  
Lori",1
"Hi, Lori
    As you stated, others are not being treated for the same dx.  You are receiving just what your onco ordered.  Glad you are feeling well with treatments, and side effects are manageable.  I found that my side effects became predictable, but the muscle fatigue increased exponentially.  Now, this may not happen to you.  Each patient is different, and even if 2 people receive the same meds, they may not have the same SE.
 
     Take care,
       Kathy","Thank you Kathy,
I have muscle pain. The first time it was pretty bad (felt like someone beat me up) but the next time I took some left over pain meds from my surgery & felt much better. I was hoping after my 3rd treatment I would have all my side effects figured out so I could manage them but my 3rd has been rescheduled due to low white count. I am bummed but going to try to rest more & eat better (haven't eaten much since I can't taste it), so I can get into the 3rd treatment as well as the rest of them & get this over with.
Thanks again~ Happy Healthy New Year!  
Lori",1
"Hi everyone, I hope you are all doing wonderfully.
I just have a question about chemo. I do have an appointment with the oncologist on Thursday but I'm curious. I've only had two treatments so far.
 I am only in treatment for under 2 hours each time and I have a very small bag of fluid they give me and then they give me what the nurse called the red demon which is a huge syringe she pushes through the IV. I do get a small bag of anti nausea medicine & steroids in the beginning as well. 
My question is: is this normal? I see so many people getting larger amounts while I am there. I know alot of them are being treated for different illnesses so we would not all be the same. My husband says maybe I won't have as many side effects (losing hair, nails etc) because maybe I'm not getting as much as some. I have gotten sick both times so I haven't missed out on that one. 8/
I don't know~ they diagnosed me stage 3C so I would think that would require a certain amount of chemo. I am happy to only be there for 2 hours I just wonder and worry 8)
Thanks for any advice ~ have a great evening!","I got Cytoxin and the Red Devil, which is the iv push real name Adriamycin.   I had it again, the Adriamycin  again with just the anti nausea 2 1/2 years ago.  I have had 6 different rounds of chemo and each one was different.  Some a push and some were infusion.  Each one was different.
Hope yours is going well.  Each doctor is different as is everyone's bout with cancer.  
Wish you the best.
Carol",1
"Hi everyone, I hope you are all doing wonderfully.
I just have a question about chemo. I do have an appointment with the oncologist on Thursday but I'm curious. I've only had two treatments so far.
 I am only in treatment for under 2 hours each time and I have a very small bag of fluid they give me and then they give me what the nurse called the red demon which is a huge syringe she pushes through the IV. I do get a small bag of anti nausea medicine & steroids in the beginning as well. 
My question is: is this normal? I see so many people getting larger amounts while I am there. I know alot of them are being treated for different illnesses so we would not all be the same. My husband says maybe I won't have as many side effects (losing hair, nails etc) because maybe I'm not getting as much as some. I have gotten sick both times so I haven't missed out on that one. 8/
I don't know~ they diagnosed me stage 3C so I would think that would require a certain amount of chemo. I am happy to only be there for 2 hours I just wonder and worry 8)
Thanks for any advice ~ have a great evening!","Thank you Carol,
My chemo is going well, except my 3rd has been rescheduled due to low white count. I should not complain only having to go through chemo once so far. You & others have gone through so much and manage to keep going all the while helping me with advise. Thanks to you & everyone who offers support & helps me get through each day. 
Thinking of you Carol and wishing you the BEST!
♡~Lori
 ",1
"I got Cytoxin and the Red Devil, which is the iv push real name Adriamycin.   I had it again, the Adriamycin  again with just the anti nausea 2 1/2 years ago.  I have had 6 different rounds of chemo and each one was different.  Some a push and some were infusion.  Each one was different.
Hope yours is going well.  Each doctor is different as is everyone's bout with cancer.  
Wish you the best.
Carol","Thank you Carol,
My chemo is going well, except my 3rd has been rescheduled due to low white count. I should not complain only having to go through chemo once so far. You & others have gone through so much and manage to keep going all the while helping me with advise. Thanks to you & everyone who offers support & helps me get through each day. 
Thinking of you Carol and wishing you the BEST!
♡~Lori
 ",1
"Finally! Girls who I can schmooze with who don't freeze the minute they remember I've been diagnosed with breast cancer. I was diagnosed on Aug. 12th - got the news by phone in the parking lot of Lowe's, but that was my fault, not the radiologist, the day before school inservice started. I was a wreck, but couldn't afford to miss the next day since I'll have to be out later. People have been super supportive, but it's either a sweet pat on the back or s super smiley face attitude. I'm kind of outside the loop because if anyone is griping about anything, they go silent immediately when I come in because they think their complaining is petty compared to ""my new reality"". I understand their feelings, but I just want my old reality back - I like being the caretaker not the other side.
Question - Why are you sent to a surgeon first instead of an oncologist? or was it just me?","We're all here to support and encourage each other. Great to have loving support from family and friends. Yet, only those who receive a diagnosis really and truly understand the experience.
Surgery is often the first step; hence, surgeon is first up. Final post-surgery pathology results will determine recommended next treatments. That's when the oncologists come in. Some patients meet all three - surgeon, medical oncologist, and radiation oncologist - at the very beginning.
Visit often. We'll be here for you.",1
